,Caso X,D,L,Beta,Velocidad,Angulo,A,B,Q,Reynolds,TotalAreaInlet,P
0,Caso 1,0.04,0.9,0.2,0.2041178614634748,0,245014914.4544135,-3823779913866.431,6.399464934591974e-05,-1223.6576294315084,0.0003136217782787035,19.25206586006858
1,Caso 10,0.055,0.9,0.2,0.20406431396966174,0,-665176391.434755,10392767219841.184,6.403407526460635e-05,-1223.3366198007416,0.0003136217782787035,19.334153651881273
2,Caso 10,0.055,0.9,0.2,0.20357578813321967,120,-81764686.88100033,1251365136032.5688,6.388520448584045e-05,-1220.4080227159247,0.0003136218019297123,119.50716812276771
3,Caso 10,0.055,0.9,0.2,0.20506355649564137,-120,-539298284.5107965,8382980693092.126,6.431218724853161e-05,-1228.085670867744,0.00031298876267923,125.71207190940665
4,Caso 10,0.055,0.9,0.2,0.20514272838196845,145,-81373614.09848331,1248172849350.1633,6.429132230384179e-05,-1228.5598158635464,0.00031298876267923,92.63630671676661
5,Caso 10,0.055,0.9,0.2,0.20523240219116998,-145,215014728.47879812,-3369954000979.744,6.435924739265553e-05,-1229.0968548285118,0.00031298876267923,74.3486350109398
6,Caso 10,0.055,0.9,0.2,0.20492160708967594,170,-17911658.911057632,271552221040.5296,6.42706080698652e-05,-1227.2355635428082,0.00031298876267923,27.946232758772354
7,Caso 10,0.055,0.9,0.2,0.20473615463920933,-170,-87154434.16325183,1353553461351.183,6.418510866551515e-05,-1226.1249249635432,0.00031298876267923,26.70130319927814
8,Caso 11,0.055,1.1,0.2,0.20412235720755234,0,-369216800.56424433,5764789367883.2295,6.403947482875797e-05,-1223.6845807796217,0.0003136217782787035,20.752715699739166
9,Caso 11,0.055,1.1,0.2,0.20350411576283922,120,-372983351.7058494,5819229680396.802,6.386160344892098e-05,-1219.9783570045872,0.0003136218019297123,123.78032467782894
10,Caso 11,0.055,1.1,0.2,0.20485520395096035,-120,256240648.1970552,-4031234115672.852,6.421743985418665e-05,-1226.8378880876915,0.00031298876267923,118.68603848811297
11,Caso 11,0.055,1.1,0.2,0.2055073182759674,-145,-13191914.220347958,186115238645.97675,6.439352768939052e-05,-1230.7432736764067,0.00031298876267923,79.00577491943395
12,Caso 11,0.055,1.1,0.2,0.2047103900523214,-170,-27601663.008740004,421733436872.8424,6.405763717293818e-05,-1225.970625874453,0.00031298876267923,34.15925392886215
13,Caso 12,0.055,1.3,0.2,0.21275796527745258,0,667919704.3541383,-10019226349356.12,6.673489760984468e-05,-1275.4536567375428,0.0003136216948566748,21.350491467068448
14,Caso 12,0.055,1.3,0.2,0.20381117754188274,120,-204217883.67305836,3169435095273.608,6.395828844113869e-05,-1221.8191488887817,0.0003136218019297123,121.1477550208644
15,Caso 12,0.055,1.3,0.2,0.2052171955361142,-120,56261385.51621144,-907334924291.608,6.434019008837347e-05,-1229.0057851353151,0.00031298876267923,119.25301273754151
16,Caso 12,0.055,1.3,0.2,0.20484216245134312,145,66704570.262635544,-1062229901398.7365,6.416077683479949e-05,-1226.7597850884056,0.00031298876267923,82.76336341974718
17,Caso 12,0.055,1.3,0.2,0.20501407315086936,-145,10289143.707934393,-179398792877.53137,6.41785780101094e-05,-1227.7893247607146,0.00031298876267923,85.55761749876369
18,Caso 12,0.055,1.3,0.2,0.20483448825454667,170,38737810.747153364,-613932453761.3291,6.42063151967484e-05,-1226.7138258195712,0.00031298876267923,34.16864310669868
19,Caso 12,0.055,1.3,0.2,0.20421744718155654,-170,9092563.851497503,-151371842033.25656,6.397153399795463e-05,-1223.0184871010497,0.00031298876267923,36.95263888873172
20,Caso 13,0.055,0.9,0.6,0.21197197320223754,0,-445009628.29435796,6691530758246.987,6.651870769250128e-05,-1270.7419153565024,0.00031362177827870335,21.335176435888197
21,Caso 13,0.055,0.9,0.6,0.20525466445553353,-120,23909932.29267417,-403834862031.3566,6.428917846018262e-05,-1229.230179190642,0.00031298876267923,121.71141034895602
22,Caso 13,0.055,0.9,0.6,0.2048746601151525,145,-37039099.92041091,559323849224.5515,6.417321350321964e-05,-1226.954407262833,0.00031298876267923,85.20811796428322
23,Caso 13,0.055,0.9,0.6,0.20508461015574284,-145,60327749.59658253,-961727398936.1434,6.424630529203863e-05,-1228.211757134518,0.00031298876267923,84.42363211018197
24,Caso 13,0.055,0.9,0.6,0.20522662299807556,170,-63972291.10314682,988260760495.1787,6.425458572465741e-05,-1229.0622443674931,0.00031298876267923,28.75158297630397
25,Caso 13,0.055,0.9,0.6,0.20493417668163047,-170,-98441904.81966126,1527411794192.7864,6.419747977343632e-05,-1227.3108403790818,0.00031298876267923,26.354300724510637
26,Caso 14,0.055,1.1,0.6,0.20335471124521093,0,-437058025.0619238,6849378623434.653,6.380752592198537e-05,-1219.082652110633,0.00031362177827870335,24.8947151520965
27,Caso 14,0.055,1.1,0.6,0.20342374360241583,120,105625968.52994297,-1686541768912.586,6.381271205716038e-05,-1219.4965372838672,0.0003136218019297123,111.08924447474315
28,Caso 14,0.055,1.1,0.6,0.20479798342952216,-120,138418995.48160762,-2192952732375.1663,6.419668451912487e-05,-1226.4952055376632,0.00031298876267923,131.4877891380416
29,Caso 14,0.055,1.1,0.6,0.2047057360349693,145,-94875505.46194395,1461643080949.8118,6.414741395392394e-05,-1225.9427538716468,0.00031298876267923,92.09812685576303
30,Caso 14,0.055,1.1,0.6,0.20522544290141062,-145,108807611.01651871,-1715361621076.7214,6.434075067204899e-05,-1229.0551769985798,0.00031298876267923,78.16294987957866
31,Caso 14,0.055,1.1,0.6,0.20529095121379828,170,-95703482.891428,1481337332010.3213,6.436126835037423e-05,-1229.4474935132293,0.00031298876267923,38.78975539828146
32,Caso 14,0.055,1.1,0.6,0.20524043899101932,-170,-60283429.83021079,929734662156.0992,6.434870822758912e-05,-1229.144985656355,0.00031298876267923,32.87453428420751
33,Caso 15,0.055,1.3,0.6,0.2117685526424882,0,340156323.7406801,-5129018238190.798,6.646295507200523e-05,-1269.5224379519486,0.00031362177827870335,21.6124593354489
34,Caso 15,0.055,1.3,0.6,0.20337667739821294,120,-458374630.32250196,7161923000766.913,6.381865788007502e-05,-1219.214382054433,0.0003136218019297123,133.73550856364503
35,Caso 15,0.055,1.3,0.6,0.2054074849134711,-120,259686845.73236054,-4073908366509.9785,6.431340065969694e-05,-1230.1453911269598,0.00031298876267923,120.93275118227926
36,Caso 15,0.055,1.3,0.6,0.20496785014063562,-145,-202379920.2915725,3138530688429.1655,6.420013532704598e-05,-1227.512504161762,0.00031298876267923,88.95194972972718
37,Caso 15,0.055,1.3,0.6,0.20448554285961854,170,-144983689.92602333,2258159864543.499,6.406514735485856e-05,-1224.624059862373,0.00031298876267923,33.688622408247696
